,Sentence,Sentence Encodings,Phrases,Values
0,Delta's ongoing flight cancellations have sparked a DOT investigation.,"{'ongoing flight': '0', 'have sparked': '0', ""Delta's ongoing flight cancellations"": '1', 'flight cancellations': '1', 'a DOT investigation': '0', ""Delta's"": '0', 'ongoing': '0', 'flight': '0', 'cancellations': '1', 'sparked': '0', 'DOT': '0', 'investigation.': '0'}","['ongoing flight', 'have sparked', ""Delta's ongoing flight cancellations"", 'flight cancellations', 'a DOT investigation', ""Delta's"", 'ongoing', 'flight', 'cancellations', 'sparked', 'DOT', 'investigation.']","['0', '0', '1', '1', '0', '0', '0', '0', '1', '0', '0', '0']"
1,"Xi's statement continued, ""China attaches great importance to the development of the Sino-Russia relations and it is willing to maintain close communications with Russia to promote a sustained, healthy, stable and deep development under the bilateral comprehensive partnership in the new era for the benefits of our people.""","{'to maintain': '0', 'great importance': '0', 'it': '0', 'the development': '0', 'to promote': '0', 'deep development': '1', 'comprehensive partnership': '1', 'the Sino-Russia relations': '0', 'new era': '0', 'close communications': '1', 'the bilateral comprehensive partnership': '11', 'continued': '0', 'a sustained, healthy, stable and deep development': '1', 'the new era': '0', 'our people': '0', ""Xi's statement"": '0', 'Russia': '0', 'China': '0', 'the benefits': '1', 'attaches': '0', ""Xi's"": '0', 'statement': '0', 'continued,': '0', '""China': '0', 'great': '0', 'importance': '0', 'development': '1', 'Sino-Russia': '0', 'relations': '0', 'willing': '0', 'maintain': '0', 'close': '0', 'communications': '0', 'promote': '0', 'sustained,': '1', 'healthy,': '1', 'stable': '1', 'deep': '1', 'bilateral': '0', 'comprehensive': '0', 'partnership': '0', 'new': '0', 'era': '0', 'benefits': '0', 'people.""': '0'}","['to maintain', 'great importance', 'it', 'the development', 'to promote', 'deep development', 'comprehensive partnership', 'the Sino-Russia relations', 'new era', 'close communications', 'the bilateral comprehensive partnership', 'continued', 'a sustained, healthy, stable and deep development', 'the new era', 'our people', ""Xi's statement"", 'Russia', 'China', 'the benefits', 'attaches', ""Xi's"", 'statement', 'continued,', '""China', 'great', 'importance', 'development', 'Sino-Russia', 'relations', 'willing', 'maintain', 'close', 'communications', 'promote', 'sustained,', 'healthy,', 'stable', 'deep', 'bilateral', 'comprehensive', 'partnership', 'new', 'era', 'benefits', 'people.""']","['0', '0', '0', '0', '0', '1', '1', '0', '0', '1', 0, '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '1', '1', '1', '0', '0', '0', '0', '0', '0', '0']"
2,"Harris’ critics, of course, don’t hesitate to point out her perceived slip-ups, from her meme-able “word salads” to deep frustrations with what many see as a lack of impact during her current term.","{'impact': '0', 'deep frustrations': '1', 'to point': '0', 'see': '0', 'her meme-able “word salads': '1', 'her current term': '0', 'her perceived slip-ups': '1', 'word salads': '1', 'Harris’ critics': '0', 'do n’t hesitate': '0', 'course': '0', 'what': '0', 'a lack': '1', 'current term': '0', 'perceived': '0', 'Harris’': '0', 'critics,': '0', 'course,': '0', 'don’t': '0', 'hesitate': '0', 'point': '0', 'slip-ups,': '1', 'meme-able': '1', '“word': '0', 'salads”': '0', 'deep': '0', 'frustrations': '1', 'many': '0', 'lack': '1', 'current': '0', 'term.': '0'}","['impact', 'deep frustrations', 'to point', 'see', 'her meme-able “word salads', 'her current term', 'her perceived slip-ups', 'word salads', 'Harris’ critics', 'do n’t hesitate', 'course', 'what', 'a lack', 'current term', 'perceived', 'Harris’', 'critics,', 'course,', 'don’t', 'hesitate', 'point', 'slip-ups,', 'meme-able', '“word', 'salads”', 'deep', 'frustrations', 'many', 'lack', 'current', 'term.']","['0', '1', '0', '0', '1', '0', '1', '1', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '1', '0', '1', '0', '0']"
3,"“Too many people denying, downplaying, rationalizing, ignoring horrors of the Holocaust and October 7, including Hamas’s appalling use of sexual violence, torture and terrorizing,” he said. “It’s absolutely despicable and must stop.”","{'It': '0', 'October': '0', 'terrorizing': '1', 'horrors': '1', 'denying': '1', 'many people': '0', 'Too many people': '1', 'torture': '1', 'appalling use': '1', 'including': '0', 'ignoring': '1', 'rationalizing': '1', 'Hamas’s appalling use': '1', 'he': '0', 'downplaying': '1', 'must stop': '0', 'said': '0', 'the Holocaust': '1', '’s': '0', 'sexual violence': '1', '“Too': '1', 'many': '0', 'people': '0', 'denying,': '1', 'downplaying,': '1', 'rationalizing,': '1', 'Holocaust': '1', '7,': '0', 'Hamas’s': '1', 'appalling': '1', 'use': '0', 'sexual': '0', 'violence,': '1', 'terrorizing,”': '1', 'said.': '0', '“It’s': '0', 'absolutely': '0', 'despicable': '1', 'must': '0', 'stop.”': '0'}","['It', 'October', 'terrorizing', 'horrors', 'denying', 'many people', 'Too many people', 'torture', 'appalling use', 'including', 'ignoring', 'rationalizing', 'Hamas’s appalling use', 'he', 'downplaying', 'must stop', 'said', 'the Holocaust', '’s', 'sexual violence', '“Too', 'many', 'people', 'denying,', 'downplaying,', 'rationalizing,', 'Holocaust', '7,', 'Hamas’s', 'appalling', 'use', 'sexual', 'violence,', 'terrorizing,”', 'said.', '“It’s', 'absolutely', 'despicable', 'must', 'stop.”']","['0', '0', '1', '1', '1', '0', '1', '1', '1', '0', '1', '1', '1', '0', '1', '0', '0', '1', '0', '1', '1', '0', '0', '1', '1', '1', '1', '0', '1', '1', '0', '0', '1', '1', '0', '0', '0', '1', '0', '0']"
4,"“I’m here in New Hampshire to talk about the budget I released today that would, I think, help in a big way,"" Biden said.","{'New Hampshire': '0', 'here ’m': '0', 'to talk': '0', 'Biden': '0', 'would help': '1', 'said': '0', 'I': '0', 'think': '0', 'the budget': '0', 'big way': '1', 'a big way': '1', 'released': '0', '“I’m': '0', 'New': '0', 'Hampshire': '0', 'talk': '0', 'budget': '0', 'today': '0', 'would,': '0', 'think,': '0', 'help': '1', 'big': '1', 'way,""': '0', 'said.': '0'}","['New Hampshire', 'here ’m', 'to talk', 'Biden', 'would help', 'said', 'I', 'think', 'the budget', 'big way', 'a big way', 'released', '“I’m', 'New', 'Hampshire', 'talk', 'budget', 'today', 'would,', 'think,', 'help', 'big', 'way,""', 'said.']","['0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0']"
5,"In the mid-20th century, Democratic delegates consisted in no small part of the leaders of trade unions and urban machines — individuals who were directly accountable to mass constituencies. This made it possible for them to credibly speak on behalf of key Democratic voting blocs.","{'credibly speak': '1', 'them': '0', 'to credibly speak': '1', 'it': '0', 'the leaders': '0', 'the mid-20th century': '0', 'who': '0', 'Democratic delegates': '0', 'This': '0', 'no small part': '1', 'mass constituencies': '1', 'individuals': '0', 'small part': '0', 'Democratic voting': '0', 'consisted': '0', 'behalf': '0', 'made': '0', 'trade unions': '0', 'urban machines': '0', 'mid-20th': '0', 'century,': '0', 'Democratic': '0', 'delegates': '0', 'small': '0', 'part': '0', 'leaders': '0', 'trade': '0', 'unions': '0', 'urban': '0', 'machines': '0', '—': '0', 'directly': '0', 'accountable': '1', 'mass': '0', 'constituencies.': '0', 'possible': '1', 'credibly': '1', 'speak': '0', 'key': '0', 'voting': '0', 'blocs.': '0'}","['credibly speak', 'them', 'to credibly speak', 'it', 'the leaders', 'the mid-20th century', 'who', 'Democratic delegates', 'This', 'no small part', 'mass constituencies', 'individuals', 'small part', 'Democratic voting', 'consisted', 'behalf', 'made', 'trade unions', 'urban machines', 'mid-20th', 'century,', 'Democratic', 'delegates', 'small', 'part', 'leaders', 'trade', 'unions', 'urban', 'machines', '—', 'directly', 'accountable', 'mass', 'constituencies.', 'possible', 'credibly', 'speak', 'key', 'voting', 'blocs.']","['1', '0', '1', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0']"
6,"“I think it was the right decision. I support him, and I support the vice president now, and I’m excited,” she continued.","{'it': '0', 'the right decision': '1', '’m': '0', 'him': '0', 'she': '0', 'the vice president': '0', 'continued': '0', 'vice president': '0', 'I': '0', 'think': '0', 'now support': '1', 'right decision': '1', 'support': '1', '“I': '0', 'right': '1', 'decision.': '0', 'him,': '0', 'vice': '0', 'president': '0', 'now,': '0', 'I’m': '0', 'excited,”': '1', 'continued.': '0'}","['it', 'the right decision', '’m', 'him', 'she', 'the vice president', 'continued', 'vice president', 'I', 'think', 'now support', 'right decision', 'support', '“I', 'right', 'decision.', 'him,', 'vice', 'president', 'now,', 'I’m', 'excited,”', 'continued.']","['0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '1', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0']"
7,Here are some of the progressive leaders who have also expressed their support:,"{'have also expressed': '1', 'their support': '1', 'who': '0', 'some': '0', 'the progressive leaders': '0', 'also expressed': '1', 'progressive leaders': '0', 'progressive': '0', 'leaders': '0', 'also': '0', 'expressed': '0', 'support:': '1'}","['have also expressed', 'their support', 'who', 'some', 'the progressive leaders', 'also expressed', 'progressive leaders', 'progressive', 'leaders', 'also', 'expressed', 'support:']","['1', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1']"
8,Biden has struggled to balance his support for Israel after the Oct. 7 Hamas attack — the deadliest day for Jews worldwide since the Holocaust — with his efforts to constrain its war on the militant group in Gaza.,"{'its war': '0', 'the Holocaust': '1', 'Israel': '0', 'the deadliest day': '1', 'Biden': '0', 'deadliest day': '1', 'his efforts': '0', 'Gaza': '0', 'the militant group': '0', 'to balance': '0', 'has struggled': '1', 'militant group': '0', 'to constrain': '0', 'Jews': '0', 'the Oct. 7 Hamas attack': '1', 'his support': '0', 'struggled': '1', 'balance': '0', 'support': '0', 'Oct.': '0', '7': '0', 'Hamas': '1', 'attack': '1', '—': '0', 'deadliest': '1', 'day': '0', 'worldwide': '0', 'since': '0', 'Holocaust': '1', 'efforts': '0', 'constrain': '0', 'war': '0', 'militant': '0', 'group': '0', 'Gaza.': '0'}","['its war', 'the Holocaust', 'Israel', 'the deadliest day', 'Biden', 'deadliest day', 'his efforts', 'Gaza', 'the militant group', 'to balance', 'has struggled', 'militant group', 'to constrain', 'Jews', 'the Oct. 7 Hamas attack', 'his support', 'struggled', 'balance', 'support', 'Oct.', '7', 'Hamas', 'attack', '—', 'deadliest', 'day', 'worldwide', 'since', 'Holocaust', 'efforts', 'constrain', 'war', 'militant', 'group', 'Gaza.']","['0', '1', '0', '1', '0', '1', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '1', '1', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0']"
9,"NASA explores the unknown in air and space, innovates for the benefit of humanity, and inspires the world through discovery.","{'innovates': '1', 'discovery': '1', 'air': '0', 'the benefit': '1', 'explores': '1', 'NASA': '0', 'the world': '0', 'space': '0', 'inspires': '1', 'humanity': '1', 'unknown': '0', 'space,': '0', 'benefit': '1', 'humanity,': '1', 'world': '0', 'discovery.': '0'}","['innovates', 'discovery', 'air', 'the benefit', 'explores', 'NASA', 'the world', 'space', 'inspires', 'humanity', 'unknown', 'space,', 'benefit', 'humanity,', 'world', 'discovery.']","['1', '1', '0', '1', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '0']"
