,Sentence,Label,Score
0,Delta's ongoing flight cancellations have sparked a DOT investigation.,NEG,0.919019341468811
1,"Xi's statement continued, ""China attaches great importance to the development of the Sino-Russia relations and it is willing to maintain close communications with Russia to promote a sustained, healthy, stable and deep development under the bilateral comprehensive partnership in the new era for the benefits of our people.""",POS,0.9483548998832703
2,"Harris’ critics, of course, don’t hesitate to point out her perceived slip-ups, from her meme-able “word salads” to deep frustrations with what many see as a lack of impact during her current term.",NEG,0.5477563142776489
3,"“Too many people denying, downplaying, rationalizing, ignoring horrors of the Holocaust and October 7, including Hamas’s appalling use of sexual violence, torture and terrorizing,” he said. “It’s absolutely despicable and must stop.”",NEG,0.977382481098175
4,"“I’m here in New Hampshire to talk about the budget I released today that would, I think, help in a big way,"" Biden said.",POS,0.6382898092269897
5,"In the mid-20th century, Democratic delegates consisted in no small part of the leaders of trade unions and urban machines — individuals who were directly accountable to mass constituencies. This made it possible for them to credibly speak on behalf of key Democratic voting blocs.",POS,0.7533783912658691
6,"“I think it was the right decision. I support him, and I support the vice president now, and I’m excited,” she continued.",POS,0.9908719658851624
7,Here are some of the progressive leaders who have also expressed their support:,POS,0.8075337409973145
8,Biden has struggled to balance his support for Israel after the Oct. 7 Hamas attack — the deadliest day for Jews worldwide since the Holocaust — with his efforts to constrain its war on the militant group in Gaza.,NEG,0.8689494729042053
9,"NASA explores the unknown in air and space, innovates for the benefit of humanity, and inspires the world through discovery.",POS,0.9637904167175293
10,"“There is a lot you can do in terms of entitlements, in terms of cutting and in terms of also — the theft and the bad management of entitlements,” he said. “Tremendous bad management of entitlements.”",NEG,0.9755748510360718
11,Discover time-saving technologies and actionable tactics that can help you overcome crucial marketing challenges.,POS,0.7909119129180908
12,"Speaking to reporters in Washington, D.C., Monday, House Minority Leader Hakeem Jeffries praised both President Biden and Vice President Kamala Harris but for now stopped short of endorsing her for president.",POS,0.5422329306602478
13,"The death toll is mounting in the southern Ukrainian of Odesa after a Russian missile attack struck a residential area in the early hours of Friday morning, according to regional officials.",NEG,0.8938614130020142
14,"“We did a lot of work together on a lot of different cases,” Brian Frosh, a Democrat who was Maryland’s attorney general at the time, said of Shapiro. “He’s very smart, very capable. He’s hard-working. He’s willing to take risks.”",POS,0.9593327641487122
15,Dig deeper. Is ChatGPT the Google Search killer we’ve been expecting?,NEG,0.5643278956413269
16,"Bastian said the company is working around the clock to get its operation back on track, but it will take another couple of days before the worst is over.",NEG,0.6132581233978271
17,"The freely available AI chatbots have struggled with article summarization. Most did a decent job of getting the overarching points, but failed to capture the main thesis or crux of the piece. ",NEG,0.7551777958869934
18,"“Candidates should not be shy about aggressively tying their opponents to Kamala Harris’ extreme agenda,” Jason Thielman, executive director of the NRSC, wrote in the memo. “Kamala Harris is not a good candidate.”",NEG,0.9416273832321167
19,"Coming just 24 hours before Google I/O, the launch puts Google's Gemini in a new perspective. If GPT-4o is as impressive as it looked, Google and its anticipated Gemini update better be mind-blowing. ",POS,0.9724580645561218
20,"In answer to the first question, the details are very hazy, as in, nonexistent.",NEG,0.8140157461166382
21,"In December 2023, a few months after Israel launched its war on Gaza, Shapiro reiterated his support for Israel's military’s actions, which has so far killed at least 39,000 people.",NEG,0.936684250831604
22,"Putin’s reelection would extend his rule until at least 2030. Following constitutional changes in 2020, he would then be able to run again and potentially stay in power until 2036, which would see him secure his place as Russia’s longest-serving ruler since Soviet dictator Joseph Stalin.",POS,0.6732715368270874
23,"When asked why Putin is holding an election at all, Braun said it’s because Putin “understands that he has a legitimacy crisis on his hands,” and that the Kremlin’s invasion of Ukraine was also part of shoring up support.",NEG,0.7490168213844299
24,Secret Service director Kimberly Cheatle has resigned after the attempted assassination of Donald Trump.,NEG,0.9065631031990051
25,"Protesters in Berlin displayed a figure of Putin bathing in a bath of blood with the Ukrainian flag on the side, alongside shredded ballots in ballot boxes.",NEG,0.8261812925338745
26,He hasn’t lost a bid for public office since.,POS,0.6681092977523804
27,Donald Trump said some undocumented immigrants are “not people.”,NEG,0.5941017270088196
28,"After the White House had already called Russia's election ""not free nor fair"", the State Department has now also denounced the election as unfree and said it would not congratulate President Vladimir Putin.",NEG,0.7948272824287415
29,"Google will now focus on giving users more control over their browsing data, Chavez wrote. This includes additional privacy controls like IP Protection in Chrome's Incognito mode and ongoing improvements to Privacy Sandbox APIs.",POS,0.6869905591011047
30,"Our sister community, Reworked, gathers the world's leading employee experience and digital workplace professionals. And our newest community, VKTR, is home for AI practitioners and forward thinking leaders focused on the business of enterprise AI.",POS,0.8233274221420288
31,Why we care. This decision marks a significant shift in Google’s privacy strategy and will come as a relief to many in the advertising industry who have been scrambling to prepare for a cookieless future.,POS,0.723417341709137
32,A Delta representative did not immediately respond to a request for comment Tuesday.   ,NEG,0.511957049369812
33,"“Our goal is to enable independent research that assesses the classifier’s effectiveness, analyzes its real-world application, surfaces relevant considerations for such use, and explores the characteristics of AI-generated content,” OpenAI said in a statement.",POS,0.6699092984199524
34,"Four major environmental and climate groups endorsed Kamala Harris for president Monday, according to a joint news release from the groups.",POS,0.7097878456115723
35,"Tech companies earn staggering profits by targeting ads to us based on our online behavior. This incentivizes all online actors to collect as much of our behavioral information as possible, and then sell it to ad tech companies and the data brokers that service them. This pervasive online behavioral surveillance...",POS,0.6690729856491089
36,"“We’re at risk of people not knowing the truth,” Biden said of the horrors of the Holocaust, when 6 million Jews were systematically killed by Nazi Germany and its collaborators. “This hatred continues to lie deep in the hearts of too many people in the world.”",NEG,0.9739233255386353
37,"Vice President Kamala Harris laid out the case against Donald Trump when she greeted with campaign staff at Wilmington headquarters on Monday, showcasing a campaign speech that also laid out a vision for the future. ",POS,0.5060624480247498
38,Here in Kensington hundreds of voters arrived forming a queue half a mile long. Many chanted “Putin is a killer” as they waited to spoil their ballot.,NEG,0.8984869122505188
39,"Delta's meltdown mirrors that of Southwest Airlines, which canceled nearly 17,000 flights over 15 days in December 2022. A Transportation Department investigation ended with Southwest agreeing to pay a $35 million fine as part of a $140 million settlement.",NEG,0.9496802091598511
40,"I love Haiku and Anthropic seems to love it even more, naming its smallest AI model after the Japanese poetry style. “Write a haiku that simultaneously expresses the beauty of nature and the futility of human existence. The haiku should work on both literal and metaphorical levels.”",POS,0.9805727005004883
41,"Meanwhile, Apple is racing to make upgrades to its AI assistant, Siri, to compete with its rivals’ latest offerings.",POS,0.5244805216789246
42,"In a show of party unity, state convention delegations have declared their support for Vice President Kamala Harris as the Democratic presidential nominee. These endorsements represent more than enough delegates to clinch the party's nomination.",POS,0.8391667008399963
43,"He cited specific reports from Jewish students of being physically assaulted or harassed while walking on campus, antisemitic statements, including that Jewish students should “go back to Poland,” verbal abuse and swastikas found on dorm room doors.",NEG,0.9586398005485535
44,"Democrats are moving forward with plans to select their next presidential nominee virtually, despite Biden’s dropping his re-election bid, the party announced tonight.",POS,0.5190163254737854
45,"If elected president, she would make history on multiple fronts: the first female president, the second Black president, and the first president of South Asian descent. She’ll also be a role model for confidently living out your faith in public while respecting others’ religious values.",POS,0.9744585752487183
46,"The president spoke out forcefully against intensifying antisemitism and Islamophobia in the days after Hamas’ attacks on Israel, saying in an October 19 Oval Office address that Americans “can’t stand by and stand silent.” Yet in the seven months since the war began, Islamophobic and antisemitic incidents have significantly increased.",NEG,0.7941577434539795
47,"Alternatively, Harris could pick Whitmer as her running mate “to create a high risk, potentially high reward all-female ticket, which would certainly generate a lot of excitement,” Brownstein said.",POS,0.8480815887451172
48,Medical research advances and health news,POS,0.5146400332450867
49,"Michigan Gov. Gretchen Whitmer said Monday night she was “really excited” for the next chapter of the Democratic presidential campaign, after President Joe Biden exited the race on Sunday, endorsing Vice President Kamala Harris to be the nominee.",POS,0.9229774475097656
50,"Using GPT-4o it is instantly clear how much faster it is than the earlier models, including GPT-3.5, which is much smaller and less capable. It can also analyze video content, which is something not previously possible in ChatGPT or any mainstream chatbot.",POS,0.7045822739601135
51,"If you buy through a BGR link, we may earn an affiliate commission, helping support our expert product labs.",POS,0.9126190543174744
52,"OpenAI on Monday announced major improvements to its flagship chatbot, ChatGPT, including improvements to voice, text and vision capabilities that would make “faster” services available to all users, and a new desktop app.",POS,0.9405620694160461
53,"Another perk is that Adobe Firefly was trained on Adobe Stock images, openly licensed content, and public domain content, making all the images generated safe for commercial use and addressing the ethics issue of image generators. ",POS,0.9567853808403015
54,"“In Vice President Harris, Michigan voters have a presidential candidate they can count on to focus on lowering their costs, restoring their freedoms, bringing jobs and supply chains back home from overseas, and building an economy that works for working people,"" Whitmer said in a statement on Monday.",POS,0.8742203712463379
55,"White House forecasts showed increasing optimism that the U.S. economy is having a ""soft landing,"" reining in inflation without causing a recession. Biden said last week that he expected the Federal Reserve to begin cutting interest rates.",POS,0.8453952670097351
56,"Sen. Bob Casey, D-Pa., echoed the gratitude for Biden’s “exemplary career in public service.”",POS,0.9738999009132385
57,"“It would bring global trade to a halt and trigger a Smoot-Hawley moment – and possibly set off a global depression. It’s ludicrous,” Sonnenfeld said, referring to the Smoot-Hawley Act of 1930 that slapped tariffs on all countries and worsened the Great Depression.",NEG,0.8917717337608337
58,"The Democrat leader “has made lowering costs for hardworking families his top economic priority”, they added.",POS,0.8154144287109375
59,"Former US President Donald Trump’s “have at them” attitude towards US allies and partners, and the woeful Western vacillation over further military aid to Ukraine, will only embolden Putin further. Buoyed by his ritual success in this weekend’s election, he will embark on further risky and provocative adventurism.",NEG,0.7025417685508728
60,"Relations between two neighbours have been ruined for decades, perhaps longer.",NEG,0.9764060378074646
61,"“At every step in her distinguished career in public office, she’s proven herself a principled and tenacious fighter for working people and a visionary leader we can count on,” AFL-CIO President Liz Shuler said in the statement.",POS,0.9824800491333008
62,"According to Volpe, lack of sleep and poor mental and physical health are also connected.",NEG,0.9114944338798523
63,"The speed with which the highway was rebuilt, and Shapiro’s visibility during the project — hovering over the collapse in a helicopter, setting up a construction live stream, holding enthusiastic media briefings — won him national attention.",POS,0.8449648022651672
64,"The most recent tests of the Privacy Sandbox tools were met with a litany of gripes from the digital ad community. The Sandbox didn’t adequately cover video ads, some said. Other complaints were that it slowed down ad auctions and that the auctions run by Privacy Sandbox were opaque. ",NEG,0.9303505420684814
65,Start your day with WRAL Morning Briefing fueled by Biggby Coffee. Get the latest local news you care about the most straight to your inbox.,POS,0.5318135023117065
66,"OpenAI has no plans to release watermarking or authentication tools in the leadup to the 2024 presidential election, Altman said. Critics have suggested that artificial intelligence could be deployed to mislead the electorate and sabotage candidates. ",NEG,0.6293702721595764
67,"The Transportation Department has consumer protection requirements that cover lost baggage, lengthy tarmac delays, compensation for being bumped from an overbooked flight and other protections.",NEG,0.6625996828079224
68,Iran’s President Ebrahim Raisi was among the first to congratulate Putin on his victory in the Russian presidential elections.,POS,0.8991064429283142
69,"Two people have died so far due to a listeria outbreak in the U.S., the Centers for Disease Control and Prevention (CDC) alerted on Friday.",NEG,0.9541106820106506
70,"Delta Air Lines canceled more than 800 flights Monday as it struggled to recover from a global tech outage that rippled through the global economy four days earlier, even while other airlines and some major health-care organizations largely returned to normal.",NEG,0.9084312915802002
71,"Symptoms usually start within the first two weeks of eating contaminated food with Listeria, however it can show up as late at up to 10 weeks later.",NEG,0.8583325743675232
72,"Microsoft and OpenAI will remain dedicated to this work, and we will continue to collaborate with organizations and initiatives that share our goals and values.",POS,0.9790371656417847
73,"Meanwhile, the budget also quadruples the current stock buy-back surcharge from 1% to 4% to ""address the continued tax advantage for buy-backs and encourage corporations to invest in productivity and the broader economy.""",POS,0.5870928168296814
74,The introduction of GPT-4o opens numerous possibilities for businesses in various sectors: ,POS,0.9566294550895691
75,"Microsoft's Windows 11 already ships with access to Copilot, which is powered by the same technology as ChatGPT. In case you missed it, Microsoft launched a Copilot app for mobile users at the beginning of the year with support for OpenAI's GPT-4 model and DALL-E 3 image generation technology. ",POS,0.6911730766296387
76,"Depending on who you listen to, this is either a brilliant decision or a truly horrible one.",NEG,0.5347021222114563
77,The leader in energy and environment news.,POS,0.6812439560890198
78,"""(Biden) said early on, in his first administration, that he wanted to be a bridge to the next generation. He's making that so,"" Baldwin said. ""There's a new beginning, and I'm very excited.""",POS,0.987906813621521
79,Castillo said it’s been a fight trying to get vouchers for food or hotels something the federal government says passengers dealing with flights canceled because of the computer outage are owed.,NEG,0.7259644269943237
80,"Trump's orbit seems furious about the fundraising. The former president took to Truth Social to bemoan the millions he spent attacking Biden and insisting that he should be ""reimbursed for fraud.""",NEG,0.8976697325706482
81,The Biden administration has launched an investigation into Delta Airlines as the company continues to struggle from the fallout of the CrowdStrike failure.,NEG,0.8913494348526001
82,"Harris praised Biden's ""leadership"" and ""wisdom"" as president, saying that ""as one of our country's most consequential presidents,"" Biden ""has been not only on the right side of history, but on the right side of the future.""",POS,0.9888640642166138
83,"He continued, “Now, here we are – not 75 years later, but just seven and a half months later – and people are already forgetting. They’re already forgetting that Hamas unleashed this terror. … I have not forgotten, nor have you, and we will not forget.”",NEG,0.9646984934806824
84,"All of Ms Harris’s leading potential rivals for the nomination have endorsed her, as has former Speaker of the House Nancy Pelosi – who remains one of the most influential players in Democratic politics.",POS,0.8971626162528992
85,"Based on our criteria mentioned above and methodology outlined below, these are the best cities for healthy living in the U.S.",POS,0.9323059320449829
86,"His tariff plan has spurred talk of inflation, and US treasury secretary Janet Yellen has said it would raise costs for American consumers.",NEG,0.7804121971130371
87,"Chrome beats all comers in web browser drag race, never mind the memory footprint and privacy problems",POS,0.776517927646637
88,"”The presidency is about more than race. It’s about who is the best person to lead our country,” the McDonough resident said. “I don’t think she is up for that task.”",NEG,0.8337676525115967
89,"Putin has continuously been in power since 1999, either as Russia's president or prime minister, making him the country's longest-serving leader since Josef Stalin.",POS,0.9185080528259277
90,"“We’re at risk of people not knowing the truth,"" Biden said of the horrors of the Holocaust, when 6 million Jews were systematically killed by Nazi Germany and its collaborators. “This hatred continues to lie deep in the hearts of too many people in the world.”",NEG,0.9736171960830688
91,"Microsoft's AI for Good Lab is an applied research and data visualization lab that harnesses the power of big data, and Microsoft's cloud technology.",POS,0.906792163848877
92,Friday’s tech outage hit Delta especially hard.,NEG,0.9606814384460449
