,Sentence,Sentence Encodings
0,Secret Service director Kimberly Cheatle has resigned after the attempted assassination of Donald Trump.,"{'attempted': '0', 'Donald Trump': '0', 'the attempted assassination': '1', 'has resigned': '1', 'Secret Service director Kimberly Cheatle': '0', 'Secret': '0', 'Service': '0', 'director': '0', 'Kimberly': '0', 'Cheatle': '0', 'resigned': '1', 'assassination': '1', 'Donald': '0', 'Trump.': '0'}"
1,"Protesters in Berlin displayed a figure of Putin bathing in a bath of blood with the Ukrainian flag on the side, alongside shredded ballots in ballot boxes.","{'displayed': '0', 'a figure': '0', 'bathing': '1', 'the Ukrainian flag': '0', 'shredded ballots': '1', 'Putin': '0', 'ballot boxes': '0', 'Berlin': '0', 'shredded': '1', 'Ukrainian flag': '0', 'the side': '0', 'blood': '1', 'Protesters': '0', 'a bath': '1', 'figure': '0', 'bath': '1', 'Ukrainian': '0', 'flag': '0', 'side,': '0', 'alongside': '0', 'ballots': '0', 'ballot': '0', 'boxes.': '0'}"
2,He hasn’t lost a bid for public office since.,"{'has n’t since lost': '1', 'a bid': '0', 'public office': '0', 'He': '0', 'hasn’t': '1', 'lost': '1', 'bid': '0', 'public': '0', 'office': '0', 'since.': '1'}"
3,Donald Trump said some undocumented immigrants are “not people.”,"{'some undocumented immigrants': '0', 'people': '1', 'said': '0', 'Donald Trump': '0', 'undocumented immigrants': '0', 'Donald': '0', 'Trump': '0', 'undocumented': '0', 'immigrants': '0', '“not': '1', 'people.”': '1'}"
4,"After the White House had already called Russia's election ""not free nor fair"", the State Department has now also denounced the election as unfree and said it would not congratulate President Vladimir Putin.","{'it': '0', 'had already called': '0', 'President Vladimir Putin': '0', 'has now also denounced': '1', 'already called': '0', 'the White House': '0', 'said': '0', ""Russia's election"": '0', 'the election': '0', 'the State Department': '0', 'would not congratulate': '1', 'also denounced': '1', 'White': '0', 'House': '0', 'already': '0', 'called': '0', ""Russia's"": '0', 'election': '0', '""not': '1', 'free': '1', 'fair"",': '1', 'State': '0', 'Department': '0', 'also': '0', 'denounced': '1', 'unfree': '1', 'would': '0', 'congratulate': '0', 'President': '0', 'Vladimir': '0', 'Putin.': '0'}"
5,"Google will now focus on giving users more control over their browsing data, Chavez wrote. This includes additional privacy controls like IP Protection in Chrome's Incognito mode and ongoing improvements to Privacy Sandbox APIs.","{'giving': '1', 'more control': '1', 'ongoing improvements': '1', 'additional privacy': '1', 'wrote': '0', 'now focus': '0', ""Chrome's Incognito mode"": '0', 'their browsing data': '0', 'privacy controls': '1', 'Chavez': '0', 'browsing': '0', 'will now focus': '0', 'users': '0', 'IP Protection': '1', 'includes': '1', 'This': '0', 'Privacy Sandbox APIs': '1', 'additional privacy controls': '1', 'Google': '0', 'focus': '0', 'control': '0', 'data,': '0', 'wrote.': '0', 'additional': '0', 'privacy': '0', 'controls': '0', 'like': '0', 'IP': '0', 'Protection': '0', ""Chrome's"": '0', 'Incognito': '0', 'mode': '0', 'ongoing': '0', 'improvements': '1', 'Privacy': '0', 'Sandbox': '0', 'APIs.': '0'}"
6,"Our sister community, Reworked, gathers the world's leading employee experience and digital workplace professionals. And our newest community, VKTR, is home for AI practitioners and forward thinking leaders focused on the business of enterprise AI.","{'newest community': '1', 'workplace professionals': '1', 'digital workplace professionals': '1', 'VKTR': '0', 'leading': '1', 'AI practitioners': '0', 'focused': '1', 'sister community': '0', 'digital workplace': '0', 'enterprise AI': '0', 'gathers': '0', 'forward thinking': '1', 'leaders': '0', 'the business': '0', 'our newest community': '1', 'Reworked': '0', 'home': '0', ""the world's leading employee experience"": '1', 'Our sister community': '0', 'employee experience': '0', 'sister': '0', 'community,': '0', 'Reworked,': '0', ""world's"": '0', 'employee': '0', 'experience': '0', 'digital': '0', 'workplace': '0', 'professionals.': '0', 'newest': '1', 'VKTR,': '0', 'AI': '0', 'practitioners': '0', 'forward': '1', 'thinking': '1', 'business': '0', 'enterprise': '0', 'AI.': '0'}"
7,Why we care. This decision marks a significant shift in Google’s privacy strategy and will come as a relief to many in the advertising industry who have been scrambling to prepare for a cookieless future.,"{'Why care': '0', 'significant shift': '1', 'who': '0', 'a significant shift': '1', 'This decision': '0', 'a relief': '1', 'have been scrambling': '0', 'Google’s privacy strategy': '0', 'advertising industry': '0', 'a cookieless future': '0', 'the advertising industry': '0', 'we': '0', 'marks': '0', 'will come': '0', 'privacy strategy': '0', 'cookieless future': '0', 'to prepare': '0', 'care.': '0', 'decision': '0', 'significant': '1', 'shift': '0', 'Google’s': '0', 'privacy': '0', 'strategy': '0', 'come': '', 'relief': '1', 'many': '0', 'advertising': '0', 'industry': '0', 'scrambling': '0', 'prepare': '0', 'cookieless': '0', 'future.': '0'}"
8,A Delta representative did not immediately respond to a request for comment Tuesday.   ,"{'comment': '0', 'A Delta representative': '0', 'immediately respond': '1', 'a request': '0', 'did not immediately respond': '1', 'Delta': '0', 'representative': '0', 'immediately': '0', 'respond': '0', 'request': '0', 'Tuesday.': '0', '': '0'}"
9,"“Our goal is to enable independent research that assesses the classifier’s effectiveness, analyzes its real-world application, surfaces relevant considerations for such use, and explores the characteristics of AI-generated content,” OpenAI said in a statement.","{'to enable': '1', 'independent research': '1', 'the classifier’s effectiveness': '1', 'such use': '0', 'surfaces': '1', 'analyzes': '1', 'AI-generated content': '0', 'OpenAI': '0', 'assesses': '1', 'explores': '1', 'world application': '1', 'its real-world application': '1', 'the characteristics': '0', 'Our goal': '1', 'relevant considerations': '1', 'said': '0', 'that': '0', 'generated': '0', 'a statement': '0', '“Our': '0', 'goal': '0', 'enable': '0', 'independent': '0', 'research': '0', 'classifier’s': '0', 'effectiveness,': '0', 'real-world': '1', 'application,': '0', 'relevant': '1', 'considerations': '0', 'use,': '0', 'characteristics': '0', 'AI-generated': '0', 'content,”': '0', 'statement.': '0'}"
10,"Four major environmental and climate groups endorsed Kamala Harris for president Monday, according to a joint news release from the groups.","{'Four major environmental and climate groups': '1', 'Kamala Harris': '0', 'news release': '0', 'the groups': '0', 'endorsed': '1', 'a joint news release': '0', 'according': '0', 'climate groups': '0', 'joint news': '0', 'president': '0', 'Four': '0', 'major': '1', 'environmental': '0', 'climate': '0', 'groups': '0', 'Kamala': '0', 'Harris': '0', 'Monday,': '0', 'joint': '0', 'news': '0', 'release': '0', 'groups.': '0'}"
11,"Tech companies earn staggering profits by targeting ads to us based on our online behavior. This incentivizes all online actors to collect as much of our behavioral information as possible, and then sell it to ad tech companies and the data brokers that service them. This pervasive online behavioral surveillance...","{'earn': '1', 'them': '0', 'our behavioral information': '0', 'service': '0', 'targeting': '0', 'incentivizes': '1', 'tech companies': '0', 'it': '0', 'Tech companies': '0', 'ad tech': '0', 'online behavior': '0', 'This pervasive online behavioral surveillance': '1', 'data brokers': '0', 'then sell': '0', 'behavioral information': '0', 'all online actors': '0', 'This': '0', 'the data brokers': '0', 'us': '0', 'behavioral surveillance': '0', 'staggering profits': '1', 'to collect': '0', 'online actors': '0', 'ad tech companies': '0', 'ads': '0', 'that': '0', 'our online behavior': '0', 'based': '0', 'Tech': '0', 'companies': '0', 'staggering': '1', 'profits': '0', 'online': '0', 'behavior.': '0', 'actors': '0', 'collect': '0', 'much': '0', 'behavioral': '0', 'information': '0', 'possible,': '0', 'sell': '0', 'ad': '0', 'tech': '0', 'data': '0', 'brokers': '0', 'them.': '0', 'pervasive': '1', 'surveillance...': '0'}"
12,"“We’re at risk of people not knowing the truth,” Biden said of the horrors of the Holocaust, when 6 million Jews were systematically killed by Nazi Germany and its collaborators. “This hatred continues to lie deep in the hearts of too many people in the world.”","{'We': '0', 'risk': '1', 'the horrors': '1', 'people': '0', '’re': '0', 'the hearts': '0', '6 million Jews': '1', 'Biden': '0', 'many people': '0', 'systematically killed': '1', 'when systematically killed': '1', 'This hatred': '1', 'too many people': '1', 'continues': '0', 'its collaborators': '0', 'not knowing': '0', 'the truth': '0', 'Nazi Germany': '1', 'said': '0', 'to lie': '1', 'the world': '0', 'the Holocaust': '1', '“We’re': '0', 'knowing': '0', 'truth,”': '0', 'horrors': '1', 'Holocaust,': '1', '6': '0', 'million': '0', 'Jews': '0', 'systematically': '0', 'killed': '1', 'Nazi': '1', 'Germany': '0', 'collaborators.': '0', '“This': '0', 'hatred': '1', 'lie': '1', 'deep': '0', 'hearts': '0', 'many': '0', 'world.”': '0'}"
13,"Vice President Kamala Harris laid out the case against Donald Trump when she greeted with campaign staff at Wilmington headquarters on Monday, showcasing a campaign speech that also laid out a vision for the future. ","{'Vice President Kamala Harris': '0', 'Monday': '0', 'a campaign speech': '1', 'a vision': '1', 'she': '0', 'the future': '1', 'Wilmington headquarters': '0', 'Donald Trump': '0', 'that': '0', 'showcasing': '0', 'also laid': '0', 'campaign staff': '0', 'campaign speech': '0', 'the case': '0', 'when greeted': '1', 'laid': '0', 'Vice': '0', 'President': '0', 'Kamala': '0', 'Harris': '0', 'case': '0', 'Donald': '0', 'Trump': '0', 'greeted': '1', 'campaign': '0', 'staff': '0', 'Wilmington': '0', 'headquarters': '0', 'Monday,': '0', 'speech': '0', 'also': '0', 'vision': '1', 'future.': '1', '': '0'}"
14,Here in Kensington hundreds of voters arrived forming a queue half a mile long. Many chanted “Putin is a killer” as they waited to spoil their ballot.,"{'a queue': '0', 'to spoil': '1', 'voters': '0', 'Here arrived': '0', 'Kensington': '0', 'a killer': '1', 'their ballot': '0', 'Putin': '0', 'long forming': '0', 'chanted': '1', 'waited': '0', 'they': '0', 'hundreds': '0', 'arrived': '0', 'forming': '0', 'queue': '0', 'half': '0', 'mile': '0', 'long.': '0', 'Many': '1', '“Putin': '0', 'killer”': '1', 'spoil': '1', 'ballot.': '0'}"
